Topic -1 (Outliers/Noise): Mapped to 'other' (pre-defined outlier category).
Topic 0 (0_2025_about_campaign_bihar): Mapped to 'development' because of keywords ['2025', 'about', 'campaign', 'bihar'].
Topic 100 (100_madhepura_turnout_awareness_voter): Mapped to 'other' because of keywords ['madhepura', 'turnout', 'awareness', 'voter'].
Topic 101 (101_chiraia_madhepura_about_2025): Mapped to 'development' because of keywords ['chiraia', 'madhepura', 'about', '2025'].
Topic 102 (102_assets_better_clean_groups): Mapped to 'development' because of keywords ['assets', 'better', 'clean', 'groups'].
Topic 103 (103_chhatapur_bankipur_growth_economic): Mapped to 'development' because of keywords ['chhatapur', 'bankipur', 'growth', 'economic'].
Topic 104 (104_marhaura_better_demand_clean): Mapped to 'development' because of keywords ['marhaura', 'better', 'demand', 'clean'].
Topic 105 (105_lalganj_belaganj_flood_govindganj): Mapped to 'development' because of keywords ['lalganj', 'belaganj', 'flood', 'govindganj'].
Topic 106 (106_jagdishpur_siwan_flood_jale): Mapped to 'development' because of keywords ['jagdishpur', 'siwan', 'flood', 'jale'].
Topic 107 (107_sheohar_sherghati_karakat_cornered): Mapped to 'other' because of keywords ['sheohar', 'sherghati', 'karakat', 'cornered'].
Topic 108 (108_mahua_manjhi_masaurhi_growth): Mapped to 'development' because of keywords ['mahua', 'manjhi', 'masaurhi', 'growth'].
Topic 109 (109_chapra_parbatta_emerge_analysts): Mapped to 'other' because of keywords ['chapra', 'parbatta', 'emerge', 'analysts'].
Topic 110 (110_sheohar_assets_clean_demands): Mapped to 'development' because of keywords ['sheohar', 'assets', 'clean', 'demands'].
Topic 111 (111_nalanda_narkatiaganj_assets_better): Mapped to 'development' because of keywords ['nalanda', 'narkatiaganj', 'assets', 'better'].
Topic 112 (112_manjhi_makhdumpur_ujiarpur_fight): Mapped to 'other' because of keywords ['manjhi', 'makhdumpur', 'ujiarpur', 'fight'].
Topic 113 (113_korha_kumhrar_affidavits_millionaire): Mapped to 'other' because of keywords ['korha', 'kumhrar', 'affidavits', 'millionaire'].
Topic 114 (114_nalanda_sonbarsha_rally_massive): Mapped to 'development' because of keywords ['nalanda', 'sonbarsha', 'rally', 'massive'].
Topic 115 (115_harnaut_harsidhi_sitamarhi_demand): Mapped to 'other' because of keywords ['harnaut', 'harsidhi', 'sitamarhi', 'demand'].
Topic 116 (116_jehanabad_rafiganj_affidavits_file): Mapped to 'other' because of keywords ['jehanabad', 'rafiganj', 'affidavits', 'file'].
Topic 117 (117_ghosi_goh_goriakothi_affidavits): Mapped to 'other' because of keywords ['ghosi', 'goh', 'goriakothi', 'affidavits'].
Topic 118 (118_kusheshwar_asthan_kumhrar_kurhani): Mapped to 'welfare' because of keywords ['kusheshwar', 'asthan', 'kumhrar', 'kurhani'].
Topic 119 (119_raghopur_bikram_chhatapur_emerge): Mapped to 'other' because of keywords ['raghopur', 'bikram', 'chhatapur', 'emerge'].
Topic 120 (120_jamui_sarairanjan_gaya_bodh): Mapped to 'other' because of keywords ['jamui', 'sarairanjan', 'gaya', 'bodh'].
Topic 121 (121_chenari_baisi_fight_analysts): Mapped to 'other' because of keywords ['chenari', 'baisi', 'fight', 'analysts'].
Topic 122 (122_sarairanjan_turnout_ghosi_dumraon): Mapped to 'other' because of keywords ['sarairanjan', 'turnout', 'ghosi', 'dumraon'].
Topic 123 (123_raja_pakar_sheohar_affidavits): Mapped to 'other' because of keywords ['raja', 'pakar', 'sheohar', 'affidavits'].
Topic 124 (124_aurai_aurangabad_growth_obra): Mapped to 'development' because of keywords ['aurai', 'aurangabad', 'growth', 'obra'].
Topic 125 (125_belsand_sursand_growth_kargahar): Mapped to 'development' because of keywords ['belsand', 'sursand', 'growth', 'kargahar'].
Topic 126 (126_turnout_laukaha_munger_chanpatia): Mapped to 'other' because of keywords ['turnout', 'laukaha', 'munger', 'chanpatia'].
Topic 127 (127_nathnagar_nabinagar_maner_massive): Mapped to 'unemployment' because of keywords ['nathnagar', 'nabinagar', 'maner', 'massive'].
Topic 128 (128_darauli_arrah_affidavits_process): Mapped to 'other' because of keywords ['darauli', 'arrah', 'affidavits', 'process'].
Topic 129 (129_sakra_saharsa_marhaura_riga): Mapped to 'welfare' because of keywords ['sakra', 'saharsa', 'marhaura', 'riga'].
Topic 130 (130_tikari_turnout_bathnaha_hayaghat): Mapped to 'other' because of keywords ['tikari', 'turnout', 'bathnaha', 'hayaghat'].
Topic 131 (131_bakhtiarpur_belhar_bakhri_2025): Mapped to 'development' because of keywords ['bakhtiarpur', 'belhar', 'bakhri', '2025'].
Topic 132 (132_pirpainti_sitamarhi_turnout_ziradei): Mapped to 'unemployment' because of keywords ['pirpainti', 'sitamarhi', 'turnout', 'ziradei'].
Topic 133 (133_kurhani_kasba_analysts_cornered): Mapped to 'other' because of keywords ['kurhani', 'kasba', 'analysts', 'cornered'].
Topic 134 (134_bauram_gaura_hayaghat_laukaha): Mapped to 'welfare' because of keywords ['bauram', 'gaura', 'hayaghat', 'laukaha'].
Topic 135 (135_jamalpur_amarpur_valmiki_nagar): Mapped to 'other' because of keywords ['jamalpur', 'amarpur', 'valmiki', 'nagar'].
Topic 136 (136_bihariganj_patna_sahib_biharsharif): Mapped to 'unemployment' because of keywords ['bihariganj', 'patna', 'sahib', 'biharsharif'].
Topic 137 (137_bagaha_manihari_affidavits_completed): Mapped to 'other' because of keywords ['bagaha', 'manihari', 'affidavits', 'completed'].
Topic 138 (138_bachhwara_chanpatia_battle_affidavits): Mapped to 'other' because of keywords ['bachhwara', 'chanpatia', 'battle', 'affidavits'].
Topic 139 (139_belsand_buxar_across_welfare): Mapped to 'welfare' because of keywords ['belsand', 'buxar', 'across', 'welfare'].
Topic 140 (140_bagaha_gurua_marhaura_fatuha): Mapped to 'unemployment' because of keywords ['bagaha', 'gurua', 'marhaura', 'fatuha'].
Topic 141 (141_digha_morwa_rosera_turnout): Mapped to 'unemployment' because of keywords ['digha', 'morwa', 'rosera', 'turnout'].
Topic 142 (142_pipra_aurangabad_aurai_self): Mapped to 'development' because of keywords ['pipra', 'aurangabad', 'aurai', 'self'].
Topic 143 (143_sugauli_sheikhpura_raxaul_madhepura): Mapped to 'welfare' because of keywords ['sugauli', 'sheikhpura', 'raxaul', 'madhepura'].
Topic 144 (144_sikandra_siwan_darauli_2025): Mapped to 'development' because of keywords ['sikandra', 'siwan', 'darauli', '2025'].
Topic 145 (145_kurtha_rupauli_katoria_affidavits): Mapped to 'other' because of keywords ['kurtha', 'rupauli', 'katoria', 'affidavits'].
Topic 146 (146_rajauli_phulparas_alauli_turnout): Mapped to 'other' because of keywords ['rajauli', 'phulparas', 'alauli', 'turnout'].
Topic 147 (147_purnia_bhabua_flood_cabinet): Mapped to 'development' because of keywords ['purnia', 'bhabua', 'flood', 'cabinet'].
